Goods ID,Level One Model,The Color ,PN,Alternative PN,Material Item Category,ID,P/N + zamiennik,The Material Sub-category ,Part Name
22367,Redmi7,Black,58F6L0470003,,Mainboard,22367-Mainboard,58F6L0470003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-3GB+32GB
22368,Redmi7,Neptune Blue,58F6L0470003,,Mainboard,22368-Mainboard,58F6L0470003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-3GB+32GB
22369,Redmi7,Lunar Red,58F6L0470003,,Mainboard,22369-Mainboard,58F6L0470003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-3GB+32GB
22373,Redmi7,Black,58F6L1380003,,Mainboard,22373-Mainboard,58F6L1380003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-3GB+64GB
22374,Redmi7,Neptune Blue,58F6L1380003,,Mainboard,22374-Mainboard,58F6L1380003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-3GB+64GB
22375,Redmi7,Lunar Red,58F6L1380003,,Mainboard,22375-Mainboard,58F6L1380003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-3GB+64GB
22772,Redmi7,Black,58F6L18R0003,,Mainboard,22772-Mainboard,58F6L18R0003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-2GB+16GB-Without B28
22773,Redmi7,Neptune Blue,58F6L18R0003,,Mainboard,22773-Mainboard,58F6L18R0003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-2GB+16GB-Without B28
22774,Redmi7,Lunar Red,58F6L18R0003,,Mainboard,22774-Mainboard,58F6L18R0003,Mainboard,After sale Mainboard Assy-Redmi7-EU EEA-2GB+16GB-Without B28
22367,Redmi7,Black,560610096033,,LCD,22367-LCD,560610096033,LCD,After sale LCD-Redmi7-black
22367,Redmi7,Black,560610115033,,LCD,22367-LCD,560610115033,LCD,After sale LCD-Redmi7-black-1.1
22368,Redmi7,Neptune Blue,561010017033,,LCD,22368-LCD,561010017033,LCD,After sale LCD-Redmi7-Blue
22368,Redmi7,Neptune Blue,561010028033,,LCD,22368-LCD,561010028033,LCD,After sale LCD-Redmi7-Blue-1.1
22369,Redmi7,Lunar Red,560610096033,,LCD,22369-LCD,560610096033,LCD,After sale LCD-Redmi7-black
22373,Redmi7,Black,560610096033,,LCD,22373-LCD,560610096033,LCD,After sale LCD-Redmi7-black
22374,Redmi7,Neptune Blue,561010017033,,LCD,22374-LCD,561010017033,LCD,After sale LCD-Redmi7-Blue
22374,Redmi7,Neptune Blue,561010028033,,LCD,22374-LCD,561010028033,LCD,After sale LCD-Redmi7-Blue-1.1
22375,Redmi7,Lunar Red,560610096033,,LCD,22375-LCD,560610096033,LCD,After sale LCD-Redmi7-black
22375,Redmi7,Lunar Red,560610115033,,LCD,22375-LCD,560610115033,LCD,After sale LCD-Redmi7-black-1.1
22772,Redmi7,Black,560610096033,,LCD,22772-LCD,560610096033,LCD,After sale LCD-Redmi7-black
22772,Redmi7,Black,560610115033,,LCD,22772-LCD,560610115033,LCD,After sale LCD-Redmi7-black-1.1
22773,Redmi7,Neptune Blue,561010017033,,LCD,22773-LCD,561010017033,LCD,After sale LCD-Redmi7-Blue
22773,Redmi7,Neptune Blue,561010028033,,LCD,22773-LCD,561010028033,LCD,After sale LCD-Redmi7-Blue-1.1
22774,Redmi7,Lunar Red,560610096033,,LCD,22774-LCD,560610096033,LCD,After sale LCD-Redmi7-black
22774,Redmi7,Lunar Red,560610115033,,LCD,22774-LCD,560610115033,LCD,After sale LCD-Redmi7-black-1.1
22367,Redmi7,Black,46BN46G04014,,Structural Material,22367-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22368,Redmi7,Neptune Blue,46BN46G04014,,Structural Material,22368-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22369,Redmi7,Lunar Red,46BN46G04014,,Structural Material,22369-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22373,Redmi7,Black,46BN46G04014,,Structural Material,22373-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22374,Redmi7,Neptune Blue,46BN46G04014,,Structural Material,22374-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22375,Redmi7,Lunar Red,46BN46G04014,,Structural Material,22375-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22772,Redmi7,Black,46BN46G04014,,Structural Material,22772-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22773,Redmi7,Neptune Blue,46BN46G04014,,Structural Material,22773-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22774,Redmi7,Lunar Red,46BN46G04014,,Structural Material,22774-Battery,46BN46G04014,Battery,Battery-BN46-30%SOC
22367,Redmi7,Black,5528194000G6,,Structural Material,22367-Battery Cover,5528194000G6,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-black-old silk screen
22367,Redmi7,Black,5522152000A1,,Structural Material,22367-Battery Cover,5522152000A1,Battery Cover,Battery Cover Assy-Redmi7-EN-black-new silk screen
22367,Redmi7,Black,5522153000A1,,Structural Material,22367-Battery Cover,5522153000A1,Battery Cover,Battery Cover Assy-Redmi7-universal version-black-new silk screen
22367,Redmi7,Black,5522153000G6,,Structural Material,22367-Battery Cover,5522153000G6,Battery Cover,Battery Cover Assy-Redmi7-universal version-black-new silk screen
22368,Redmi7,Neptune Blue,552819100093,,Structural Material,22368-Battery Cover,552819100093,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-gradient ramp bluish-spray&old silk screen
22369,Redmi7,Lunar Red,552819200021,,Structural Material,22369-Battery Cover,552819200021,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-black red gradient ramp-spray&old silk screen
22373,Redmi7,Black,5528194000G6,,Structural Material,22373-Battery Cover,5528194000G6,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-black-old silk screen
22373,Redmi7,Black,5522152000A1,,Structural Material,22373-Battery Cover,5522152000A1,Battery Cover,Battery Cover Assy-Redmi7-EN-black-new silk screen
22373,Redmi7,Black,5522153000G6,,Structural Material,22373-Battery Cover,5522153000G6,Battery Cover,Battery Cover Assy-Redmi7-universal version-black-new silk screen
22374,Redmi7,Neptune Blue,552819100093,,Structural Material,22374-Battery Cover,552819100093,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-gradient ramp bluish-spray&old silk screen
22375,Redmi7,Lunar Red,552819200021,,Structural Material,22375-Battery Cover,552819200021,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-black red gradient ramp-spray&old silk screen
22772,Redmi7,Black,5522152000A1,,Structural Material,22772-Battery Cover,5522152000A1,Battery Cover,Battery Cover Assy-Redmi7-EN-black-new silk screen
22772,Redmi7,Black,5528194000G6,,Structural Material,22772-Battery Cover,5528194000G6,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-black-old silk screen
22773,Redmi7,Neptune Blue,552819100093,,Structural Material,22773-Battery Cover,552819100093,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-gradient ramp bluish-spray&old silk screen
22773,Redmi7,Neptune Blue,552818000093,,Structural Material,22773-Battery Cover,552818000093,Battery Cover,Battery Cover Assy-Redmi7-Comet Blue-PC
22774,Redmi7,Lunar Red,552819200021,,Structural Material,22774-Battery Cover,552819200021,Battery Cover,Battery Cover Assy-Redmi7-EU/RU-black red gradient ramp-spray&old silk screen
22367,Redmi7,Black,560030059033,,Structural Material,22367-Sub Board,560030059033,Sub Board,After sale Subboard Assy-Redmi7
22368,Redmi7,Neptune Blue,560030059033,,Structural Material,22368-Sub Board,560030059033,Sub Board,After sale Subboard Assy-Redmi7
22369,Redmi7,Lunar Red,560030059033,,Structural Material,22369-Sub Board,560030059033,Sub Board,After sale Subboard Assy-Redmi7
